Request id,Pickup point,Driver id,Status,Request Date,Request Time,Request Day,Request Hour,Request Time Slot,Drop Date,Drop Time,Drop Day,Drop Hour,Drop Time Slot
1934,Airport,3,Trip Completed,12-Jul-16,11:17:00,Tuesday,11,Morning,12-Jul-16,12:23:00,Tuesday,12,Afternoon
2083,Airport,3,Trip Completed,12-Jul-16,15:46:00,Tuesday,15,Afternoon,12-Jul-16,16:40:00,Tuesday,16,Afternoon
2211,Airport,3,Trip Completed,12-Jul-16,18:00:00,Tuesday,18,Evening,12-Jul-16,18:28:00,Tuesday,18,Evening
3096,Airport,3,Trip Completed,13-Jul-16,08:17:29,Wednesday,8,Morning,13-Jul-16,09:22:37,Wednesday,9,Morning
3881,Airport,3,Trip Completed,13-Jul-16,21:54:18,Wednesday,21,Night,13-Jul-16,22:51:23,Wednesday,22,Night
5254,City,3,Trip Completed,14-Jul-16,21:23:03,Thursday,21,Night,14-Jul-16,22:25:19,Thursday,22,Night
5434,City,3,Trip Completed,15-Jul-16,02:41:38,Friday,2,Late Night,15-Jul-16,03:24:43,Friday,3,Late Night
5916,City,3,Trip Completed,15-Jul-16,10:00:43,Friday,10,Morning,15-Jul-16,10:53:06,Friday,10,Morning
669,City,4,Trip Completed,11-Jul-16,13:08:00,Monday,13,Afternoon,11-Jul-16,13:49:00,Monday,13,Afternoon
1567,Airport,4,Trip Completed,12-Jul-16,06:21:00,Tuesday,6,Early Morning,12-Jul-16,07:10:00,Tuesday,7,Early Morning
1826,City,4,Trip Completed,12-Jul-16,09:27:00,Tuesday,9,Morning,12-Jul-16,10:27:00,Tuesday,10,Morning
2102,City,4,Trip Completed,12-Jul-16,16:09:00,Tuesday,16,Afternoon,12-Jul-16,17:01:00,Tuesday,17,Evening
2847,Airport,4,Trip Completed,13-Jul-16,05:34:20,Wednesday,5,Early Morning,13-Jul-16,06:09:59,Wednesday,6,Early Morning
3722,Airport,4,Trip Completed,13-Jul-16,19:57:59,Wednesday,19,Evening,13-Jul-16,20:32:04,Wednesday,20,Evening
4075,City,4,Trip Completed,14-Jul-16,02:17:35,Thursday,2,Late Night,14-Jul-16,03:21:38,Thursday,3,Late Night
4686,City,4,Trip Completed,14-Jul-16,13:01:10,Thursday,13,Afternoon,14-Jul-16,13:45:28,Thursday,13,Afternoon
5771,Airport,4,Trip Completed,15-Jul-16,08:30:06,Friday,8,Morning,15-Jul-16,09:37:20,Friday,9,Morning
6106,Airport,4,Trip Completed,15-Jul-16,15:01:20,Friday,15,Afternoon,15-Jul-16,15:47:31,Friday,15,Afternoon
312,City,5,Trip Completed,11-Jul-16,07:27:00,Monday,7,Early Morning,11-Jul-16,08:31:00,Monday,8,Morning
577,Airport,5,Trip Completed,11-Jul-16,11:03:00,Monday,11,Morning,11-Jul-16,12:01:00,Monday,12,Afternoon
1179,City,5,Trip Completed,11-Jul-16,20:58:00,Monday,20,Evening,11-Jul-16,21:45:00,Monday,21,Night
1756,Airport,5,Trip Completed,12-Jul-16,08:40:00,Tuesday,8,Morning,12-Jul-16,09:23:00,Tuesday,9,Morning
2052,City,5,Trip Completed,12-Jul-16,14:48:00,Tuesday,14,Afternoon,12-Jul-16,15:50:00,Tuesday,15,Afternoon
2559,City,5,Trip Completed,12-Jul-16,21:32:00,Tuesday,21,Night,12-Jul-16,22:29:00,Tuesday,22,Night
3014,City,5,Trip Completed,13-Jul-16,07:28:14,Wednesday,7,Early Morning,13-Jul-16,08:29:47,Wednesday,8,Morning
3317,City,5,Trip Completed,13-Jul-16,12:14:27,Wednesday,12,Afternoon,13-Jul-16,12:46:38,Wednesday,12,Afternoon
4297,City,5,Trip Completed,14-Jul-16,06:43:01,Thursday,6,Early Morning,14-Jul-16,07:49:38,Thursday,7,Early Morning
5857,Airport,5,Trip Completed,15-Jul-16,09:08:50,Friday,9,Morning,15-Jul-16,10:07:07,Friday,10,Morning
6690,Airport,5,Trip Completed,15-Jul-16,22:41:41,Friday,22,Night,15-Jul-16,23:51:00,Friday,23,Night
1517,Airport,6,Trip Completed,12-Jul-16,05:45:00,Tuesday,5,Early Morning,12-Jul-16,06:28:00,Tuesday,6,Early Morning
1999,Airport,6,Trip Completed,12-Jul-16,13:02:00,Tuesday,13,Afternoon,12-Jul-16,13:51:00,Tuesday,13,Afternoon
2960,Airport,6,Trip Completed,13-Jul-16,06:50:33,Wednesday,6,Early Morning,13-Jul-16,07:40:35,Wednesday,7,Early Morning
3882,City,6,Trip Completed,13-Jul-16,21:53:03,Wednesday,21,Night,13-Jul-16,22:45:24,Wednesday,22,Night
4081,Airport,6,Trip Completed,14-Jul-16,02:37:14,Thursday,2,Late Night,14-Jul-16,03:30:27,Thursday,3,Late Night
4740,City,6,Trip Completed,14-Jul-16,14:50:07,Thursday,14,Afternoon,14-Jul-16,15:38:14,Thursday,15,Afternoon
5270,City,6,Trip Completed,14-Jul-16,21:33:55,Thursday,21,Night,14-Jul-16,22:25:43,Thursday,22,Night
6758,Airport,6,Trip Completed,15-Jul-16,00:03:39,Friday,0,Late Night,15-Jul-16,01:07:39,Friday,1,Late Night
5741,City,6,Trip Completed,15-Jul-16,07:52:51,Friday,7,Early Morning,15-Jul-16,08:38:55,Friday,8,Morning
6087,Airport,6,Trip Completed,15-Jul-16,14:28:50,Friday,14,Afternoon,15-Jul-16,15:33:53,Friday,15,Afternoon
1039,City,7,Trip Completed,11-Jul-16,19:31:00,Monday,19,Evening,11-Jul-16,20:41:00,Monday,20,Evening
1273,Airport,7,Trip Completed,11-Jul-16,22:07:00,Monday,22,Night,11-Jul-16,23:12:00,Monday,23,Night
2480,City,7,Trip Completed,12-Jul-16,20:39:00,Tuesday,20,Evening,12-Jul-16,21:28:00,Tuesday,21,Night
4105,City,7,Trip Completed,14-Jul-16,03:39:38,Thursday,3,Late Night,14-Jul-16,04:39:04,Thursday,4,Early Morning
4509,City,7,Trip Completed,14-Jul-16,09:11:13,Thursday,9,Morning,14-Jul-16,10:17:01,Thursday,10,Morning
4986,Airport,7,Trip Completed,14-Jul-16,18:52:32,Thursday,18,Evening,14-Jul-16,19:50:57,Thursday,19,Evening
5898,City,7,Trip Completed,15-Jul-16,09:50:28,Friday,9,Morning,15-Jul-16,10:40:39,Friday,10,Morning
6142,Airport,7,Trip Completed,15-Jul-16,15:50:15,Friday,15,Afternoon,15-Jul-16,16:36:56,Friday,16,Afternoon
380,Airport,8,Trip Completed,11-Jul-16,08:18:00,Monday,8,Morning,11-Jul-16,09:18:00,Monday,9,Morning
1050,Airport,8,Trip Completed,11-Jul-16,19:39:00,Monday,19,Evening,11-Jul-16,20:30:00,Monday,20,Evening
1769,City,8,Trip Completed,12-Jul-16,08:57:00,Tuesday,8,Morning,12-Jul-16,09:24:00,Tuesday,9,Morning
2520,City,8,Trip Completed,12-Jul-16,21:05:00,Tuesday,21,Night,12-Jul-16,22:20:00,Tuesday,22,Night
3265,Airport,8,Trip Completed,13-Jul-16,10:22:07,Wednesday,10,Morning,13-Jul-16,11:07:02,Wednesday,11,Morning
4648,City,8,Trip Completed,14-Jul-16,11:55:10,Thursday,11,Morning,14-Jul-16,12:59:34,Thursday,12,Afternoon
449,Airport,9,Trip Completed,11-Jul-16,09:08:00,Monday,9,Morning,11-Jul-16,09:52:00,Monday,9,Morning
846,Airport,9,Trip Completed,11-Jul-16,17:46:00,Monday,17,Evening,11-Jul-16,18:52:00,Monday,18,Evening
1346,Airport,9,Trip Completed,11-Jul-16,23:39:00,Monday,23,Night,12-Jul-16,00:23:00,Tuesday,0,Late Night
1474,Airport,9,Trip Completed,12-Jul-16,05:13:00,Tuesday,5,Early Morning,12-Jul-16,05:56:00,Tuesday,5,Early Morning
2240,City,9,Trip Completed,12-Jul-16,18:20:00,Tuesday,18,Evening,12-Jul-16,18:54:00,Tuesday,18,Evening
3072,Airport,9,Trip Completed,13-Jul-16,08:04:57,Wednesday,8,Morning,13-Jul-16,08:36:37,Wednesday,8,Morning
3459,Airport,9,Trip Completed,13-Jul-16,17:03:30,Wednesday,17,Evening,13-Jul-16,17:31:49,Wednesday,17,Evening
3774,Airport,9,Trip Completed,13-Jul-16,20:41:24,Wednesday,20,Evening,13-Jul-16,21:27:29,Wednesday,21,Night
4023,City,9,Trip Completed,13-Jul-16,23:58:41,Wednesday,23,Night,14-Jul-16,00:58:39,Thursday,0,Late Night
4117,City,9,Trip Completed,14-Jul-16,04:21:42,Thursday,4,Early Morning,14-Jul-16,05:07:07,Thursday,5,Early Morning
4880,Airport,9,Trip Completed,14-Jul-16,17:58:46,Thursday,17,Evening,14-Jul-16,19:02:42,Thursday,19,Evening
5568,Airport,9,Trip Completed,15-Jul-16,05:47:49,Friday,5,Early Morning,15-Jul-16,06:25:49,Friday,6,Early Morning
5994,Airport,9,Trip Completed,15-Jul-16,11:51:16,Friday,11,Morning,15-Jul-16,12:32:12,Friday,12,Afternoon
1809,Airport,10,Trip Completed,12-Jul-16,09:13:00,Tuesday,9,Morning,12-Jul-16,10:01:00,Tuesday,10,Morning
2064,Airport,10,Trip Completed,12-Jul-16,15:08:00,Tuesday,15,Afternoon,12-Jul-16,16:14:00,Tuesday,16,Afternoon
3210,City,10,Trip Completed,13-Jul-16,09:47:06,Wednesday,9,Morning,13-Jul-16,10:52:37,Wednesday,10,Morning
4350,City,10,Trip Completed,14-Jul-16,07:24:43,Thursday,7,Early Morning,14-Jul-16,08:22:09,Thursday,8,Morning
4713,City,10,Trip Completed,14-Jul-16,13:31:24,Thursday,13,Afternoon,14-Jul-16,14:10:56,Thursday,14,Afternoon
5629,Airport,10,Trip Completed,15-Jul-16,06:33:00,Friday,6,Early Morning,15-Jul-16,07:19:53,Friday,7,Early Morning
6157,Airport,10,Trip Completed,15-Jul-16,16:32:51,Friday,16,Afternoon,15-Jul-16,17:44:44,Friday,17,Evening
2030,City,11,Trip Completed,12-Jul-16,14:11:00,Tuesday,14,Afternoon,12-Jul-16,15:02:00,Tuesday,15,Afternoon
3226,City,11,Trip Completed,13-Jul-16,10:00:17,Wednesday,10,Morning,13-Jul-16,11:02:52,Wednesday,11,Morning
3353,City,11,Trip Completed,13-Jul-16,13:29:44,Wednesday,13,Afternoon,13-Jul-16,14:09:00,Wednesday,14,Afternoon
4293,City,11,Trip Completed,14-Jul-16,06:42:36,Thursday,6,Early Morning,14-Jul-16,07:12:41,Thursday,7,Early Morning
4936,City,11,Trip Completed,14-Jul-16,18:22:17,Thursday,18,Evening,14-Jul-16,19:14:36,Thursday,19,Evening
5661,Airport,11,Trip Completed,15-Jul-16,07:08:50,Friday,7,Early Morning,15-Jul-16,07:59:00,Friday,7,Early Morning
5778,City,11,Trip Completed,15-Jul-16,08:22:03,Friday,8,Morning,15-Jul-16,09:13:04,Friday,9,Morning
6425,Airport,11,Trip Completed,15-Jul-16,19:46:40,Friday,19,Evening,15-Jul-16,20:26:51,Friday,20,Evening
45,Airport,12,Trip Completed,11-Jul-16,03:17:00,Monday,3,Late Night,11-Jul-16,04:09:00,Monday,4,Early Morning
264,City,12,Trip Completed,11-Jul-16,06:51:00,Monday,6,Early Morning,11-Jul-16,07:40:00,Monday,7,Early Morning
1183,City,12,Trip Completed,11-Jul-16,21:05:00,Monday,21,Night,11-Jul-16,21:38:00,Monday,21,Night
1536,Airport,12,Trip Completed,12-Jul-16,05:59:00,Tuesday,5,Early Morning,12-Jul-16,06:59:00,Tuesday,6,Early Morning
2437,City,12,Trip Completed,12-Jul-16,20:18:00,Tuesday,20,Evening,12-Jul-16,21:26:00,Tuesday,21,Night
2641,Airport,12,Trip Completed,12-Jul-16,22:28:00,Tuesday,22,Night,12-Jul-16,23:05:00,Tuesday,23,Night
4077,Airport,12,Trip Completed,14-Jul-16,02:14:15,Thursday,2,Late Night,14-Jul-16,03:13:09,Thursday,3,Late Night
4610,City,12,Trip Completed,14-Jul-16,10:35:14,Thursday,10,Morning,14-Jul-16,11:39:01,Thursday,11,Morning
5066,Airport,12,Trip Completed,14-Jul-16,19:31:20,Thursday,19,Evening,14-Jul-16,20:14:03,Thursday,20,Evening
5666,Airport,12,Trip Completed,15-Jul-16,07:04:55,Friday,7,Early Morning,15-Jul-16,08:12:37,Friday,8,Morning
5923,City,12,Trip Completed,15-Jul-16,10:07:49,Friday,10,Morning,15-Jul-16,10:50:50,Friday,10,Morning
6367,City,12,Trip Completed,15-Jul-16,19:04:46,Friday,19,Evening,15-Jul-16,19:46:04,Friday,19,Evening
155,City,13,Trip Completed,11-Jul-16,05:32:00,Monday,5,Early Morning,11-Jul-16,06:28:00,Monday,6,Early Morning
310,Airport,13,Trip Completed,11-Jul-16,07:24:00,Monday,7,Early Morning,11-Jul-16,08:28:00,Monday,8,Morning
607,City,13,Trip Completed,11-Jul-16,11:51:00,Monday,11,Morning,11-Jul-16,12:42:00,Monday,12,Afternoon
1012,City,13,Trip Completed,11-Jul-16,19:15:00,Monday,19,Evening,11-Jul-16,19:57:00,Monday,19,Evening
1696,Airport,13,Trip Completed,12-Jul-16,08:01:00,Tuesday,8,Morning,12-Jul-16,08:42:00,Tuesday,8,Morning
3076,City,13,Trip Completed,13-Jul-16,08:09:04,Wednesday,8,Morning,13-Jul-16,09:12:19,Wednesday,9,Morning
4198,Airport,13,Trip Completed,14-Jul-16,05:32:14,Thursday,5,Early Morning,14-Jul-16,06:45:32,Thursday,6,Early Morning
4627,City,13,Trip Completed,14-Jul-16,11:13:19,Thursday,11,Morning,14-Jul-16,12:00:12,Thursday,12,Afternoon
5289,City,13,Trip Completed,14-Jul-16,21:43:24,Thursday,21,Night,14-Jul-16,22:24:13,Thursday,22,Night
5495,Airport,13,Trip Completed,15-Jul-16,05:00:13,Friday,5,Early Morning,15-Jul-16,06:02:27,Friday,6,Early Morning
6656,Airport,13,Trip Completed,15-Jul-16,22:08:42,Friday,22,Night,15-Jul-16,22:41:18,Friday,22,Night
139,Airport,14,Trip Completed,11-Jul-16,05:21:00,Monday,5,Early Morning,11-Jul-16,06:09:00,Monday,6,Early Morning
215,City,14,Trip Completed,11-Jul-16,06:15:00,Monday,6,Early Morning,11-Jul-16,07:07:00,Monday,7,Early Morning
1816,City,14,Trip Completed,12-Jul-16,09:24:00,Tuesday,9,Morning,12-Jul-16,10:07:00,Tuesday,10,Morning
2505,Airport,14,Trip Completed,12-Jul-16,21:03:00,Tuesday,21,Night,12-Jul-16,22:14:00,Tuesday,22,Night
3346,City,14,Trip Completed,13-Jul-16,13:01:42,Wednesday,13,Afternoon,13-Jul-16,13:55:59,Wednesday,13,Afternoon
5294,City,14,Trip Completed,14-Jul-16,21:45:50,Thursday,21,Night,14-Jul-16,22:16:40,Thursday,22,Night
6226,Airport,14,Trip Completed,15-Jul-16,17:34:25,Friday,17,Evening,15-Jul-16,18:33:13,Friday,18,Evening
6733,Airport,14,Trip Completed,15-Jul-16,23:32:44,Friday,23,Night,16-Jul-16,00:37:46,Saturday,0,Late Night
1027,Airport,15,Trip Completed,11-Jul-16,19:18:00,Monday,19,Evening,11-Jul-16,20:24:00,Monday,20,Evening
2675,Airport,15,Trip Completed,12-Jul-16,23:43:00,Tuesday,23,Night,13-Jul-16,00:35:12,Wednesday,0,Late Night
3200,City,15,Trip Completed,13-Jul-16,09:39:44,Wednesday,9,Morning,13-Jul-16,10:30:58,Wednesday,10,Morning
3865,City,15,Trip Completed,13-Jul-16,21:52:05,Wednesday,21,Night,13-Jul-16,22:21:15,Wednesday,22,Night
4468,City,15,Trip Completed,14-Jul-16,08:42:46,Thursday,8,Morning,14-Jul-16,09:22:01,Thursday,9,Morning
5163,Airport,15,Trip Completed,14-Jul-16,20:34:30,Thursday,20,Evening,14-Jul-16,21:05:18,Thursday,21,Night
6009,City,15,Trip Completed,15-Jul-16,12:22:35,Friday,12,Afternoon,15-Jul-16,13:25:27,Friday,13,Afternoon
6448,Airport,15,Trip Completed,15-Jul-16,20:02:54,Friday,20,Evening,15-Jul-16,20:40:45,Friday,20,Evening
591,City,16,Trip Completed,11-Jul-16,11:25:00,Monday,11,Morning,11-Jul-16,12:31:00,Monday,12,Afternoon
709,City,16,Trip Completed,11-Jul-16,14:16:00,Monday,14,Afternoon,11-Jul-16,15:03:00,Monday,15,Afternoon
1167,Airport,16,Trip Completed,11-Jul-16,20:50:00,Monday,20,Evening,11-Jul-16,21:52:00,Monday,21,Night
2661,Airport,16,Trip Completed,12-Jul-16,23:23:00,Tuesday,23,Night,13-Jul-16,00:27:21,Wednesday,0,Late Night
2808,City,16,Trip Completed,13-Jul-16,05:05:16,Wednesday,5,Early Morning,13-Jul-16,05:56:11,Wednesday,5,Early Morning
3258,Airport,16,Trip Completed,13-Jul-16,10:12:51,Wednesday,10,Morning,13-Jul-16,10:45:28,Wednesday,10,Morning
3413,Airport,16,Trip Completed,13-Jul-16,15:32:01,Wednesday,15,Afternoon,13-Jul-16,16:45:44,Wednesday,16,Afternoon
3939,Airport,16,Trip Completed,13-Jul-16,22:26:26,Wednesday,22,Night,13-Jul-16,22:55:54,Wednesday,22,Night
4125,City,16,Trip Completed,14-Jul-16,04:37:11,Thursday,4,Early Morning,14-Jul-16,05:46:29,Thursday,5,Early Morning
4457,City,16,Trip Completed,14-Jul-16,08:36:24,Thursday,8,Morning,14-Jul-16,09:19:20,Thursday,9,Morning
4728,City,16,Trip Completed,14-Jul-16,14:04:13,Thursday,14,Afternoon,14-Jul-16,15:06:40,Thursday,15,Afternoon
5347,Airport,16,Trip Completed,14-Jul-16,22:51:47,Thursday,22,Night,14-Jul-16,23:53:42,Thursday,23,Night
6147,City,16,Trip Completed,15-Jul-16,16:11:02,Friday,16,Afternoon,15-Jul-16,17:30:08,Friday,17,Evening
6496,Airport,16,Trip Completed,15-Jul-16,20:33:00,Friday,20,Evening,15-Jul-16,21:32:49,Friday,21,Night
634,City,17,Trip Completed,11-Jul-16,12:25:00,Monday,12,Afternoon,11-Jul-16,13:06:00,Monday,13,Afternoon
939,Airport,17,Trip Completed,11-Jul-16,18:25:00,Monday,18,Evening,11-Jul-16,19:26:00,Monday,19,Evening
2628,Airport,17,Trip Completed,12-Jul-16,22:10:00,Tuesday,22,Night,12-Jul-16,23:25:00,Tuesday,23,Night
3021,City,17,Trip Completed,13-Jul-16,07:33:20,Wednesday,7,Early Morning,13-Jul-16,08:26:07,Wednesday,8,Morning
4743,City,17,Trip Completed,14-Jul-16,14:54:16,Thursday,14,Afternoon,14-Jul-16,15:39:03,Thursday,15,Afternoon
4981,City,17,Trip Completed,14-Jul-16,18:47:42,Thursday,18,Evening,14-Jul-16,19:43:44,Thursday,19,Evening
5367,Airport,17,Trip Completed,14-Jul-16,23:35:34,Thursday,23,Night,15-Jul-16,00:25:26,Friday,0,Late Night
5471,Airport,17,Trip Completed,15-Jul-16,04:48:57,Friday,4,Early Morning,15-Jul-16,05:47:13,Friday,5,Early Morning
5988,Airport,17,Trip Completed,15-Jul-16,11:48:32,Friday,11,Morning,15-Jul-16,12:55:02,Friday,12,Afternoon
6477,Airport,17,Trip Completed,15-Jul-16,20:21:26,Friday,20,Evening,15-Jul-16,21:00:31,Friday,21,Night
499,City,18,Trip Completed,11-Jul-16,09:39:00,Monday,9,Morning,11-Jul-16,10:16:00,Monday,10,Morning
1147,Airport,18,Trip Completed,11-Jul-16,20:42:00,Monday,20,Evening,11-Jul-16,21:18:00,Monday,21,Night
1410,Airport,18,Trip Completed,12-Jul-16,03:14:00,Tuesday,3,Late Night,12-Jul-16,04:27:00,Tuesday,4,Early Morning
1804,Airport,18,Trip Completed,12-Jul-16,09:12:00,Tuesday,9,Morning,12-Jul-16,09:57:00,Tuesday,9,Morning
1949,Airport,18,Trip Completed,12-Jul-16,11:32:00,Tuesday,11,Morning,12-Jul-16,12:13:00,Tuesday,12,Afternoon
2713,City,18,Trip Completed,13-Jul-16,01:46:42,Wednesday,1,Late Night,13-Jul-16,02:37:08,Wednesday,2,Late Night
2845,City,18,Trip Completed,13-Jul-16,05:28:29,Wednesday,5,Early Morning,13-Jul-16,06:10:40,Wednesday,6,Early Morning
3943,Airport,18,Trip Completed,13-Jul-16,22:35:38,Wednesday,22,Night,13-Jul-16,23:33:20,Wednesday,23,Night
4792,City,18,Trip Completed,14-Jul-16,16:47:15,Thursday,16,Afternoon,14-Jul-16,17:34:39,Thursday,17,Evening
5207,Airport,18,Trip Completed,14-Jul-16,20:57:41,Thursday,20,Evening,14-Jul-16,21:56:21,Thursday,21,Night
5890,City,18,Trip Completed,15-Jul-16,09:43:57,Friday,9,Morning,15-Jul-16,10:55:22,Friday,10,Morning
494,City,19,Trip Completed,11-Jul-16,09:36:00,Monday,9,Morning,11-Jul-16,10:02:00,Monday,10,Morning
1485,City,19,Trip Completed,12-Jul-16,05:21:00,Tuesday,5,Early Morning,12-Jul-16,06:35:00,Tuesday,6,Early Morning
2042,City,19,Trip Completed,12-Jul-16,14:30:00,Tuesday,14,Afternoon,12-Jul-16,15:09:00,Tuesday,15,Afternoon
2561,Airport,19,Trip Completed,12-Jul-16,21:29:00,Tuesday,21,Night,12-Jul-16,22:44:00,Tuesday,22,Night
3813,Airport,19,Trip Completed,13-Jul-16,21:06:57,Wednesday,21,Night,13-Jul-16,21:46:24,Wednesday,21,Night
4260,Airport,19,Trip Completed,14-Jul-16,06:11:51,Thursday,6,Early Morning,14-Jul-16,06:59:46,Thursday,6,Early Morning
4395,City,19,Trip Completed,14-Jul-16,08:00:15,Thursday,8,Morning,14-Jul-16,08:54:39,Thursday,8,Morning
5919,City,19,Trip Completed,15-Jul-16,10:03:42,Friday,10,Morning,15-Jul-16,10:59:27,Friday,10,Morning
6002,Airport,19,Trip Completed,15-Jul-16,12:04:15,Friday,12,Afternoon,15-Jul-16,12:53:36,Friday,12,Afternoon
468,City,20,Trip Completed,11-Jul-16,09:20:00,Monday,9,Morning,11-Jul-16,10:05:00,Monday,10,Morning
693,Airport,20,Trip Completed,11-Jul-16,13:51:00,Monday,13,Afternoon,11-Jul-16,15:01:00,Monday,15,Afternoon
1178,City,20,Trip Completed,11-Jul-16,21:05:00,Monday,21,Night,11-Jul-16,22:06:00,Monday,22,Night
2103,City,20,Trip Completed,12-Jul-16,16:08:00,Tuesday,16,Afternoon,12-Jul-16,17:18:00,Tuesday,17,Evening
2292,Airport,20,Trip Completed,12-Jul-16,18:46:00,Tuesday,18,Evening,12-Jul-16,19:23:00,Tuesday,19,Evening
3339,City,20,Trip Completed,13-Jul-16,12:40:58,Wednesday,12,Afternoon,13-Jul-16,13:30:26,Wednesday,13,Afternoon
3694,City,20,Trip Completed,13-Jul-16,19:33:19,Wednesday,19,Evening,13-Jul-16,20:35:08,Wednesday,20,Evening
4469,City,20,Trip Completed,14-Jul-16,08:45:13,Thursday,8,Morning,14-Jul-16,09:48:08,Thursday,9,Morning
6432,City,20,Trip Completed,15-Jul-16,19:50:57,Friday,19,Evening,15-Jul-16,20:30:05,Friday,20,Evening
1895,City,21,Trip Completed,12-Jul-16,10:20:00,Tuesday,10,Morning,12-Jul-16,10:52:00,Tuesday,10,Morning
1981,Airport,21,Trip Completed,12-Jul-16,12:23:00,Tuesday,12,Afternoon,12-Jul-16,12:56:00,Tuesday,12,Afternoon
3744,Airport,21,Trip Completed,13-Jul-16,20:28:11,Wednesday,20,Evening,13-Jul-16,21:22:42,Wednesday,21,Night
4433,Airport,21,Trip Completed,14-Jul-16,08:26:32,Thursday,8,Morning,14-Jul-16,09:12:02,Thursday,9,Morning
6039,Airport,21,Trip Completed,15-Jul-16,13:11:04,Friday,13,Afternoon,15-Jul-16,13:38:01,Friday,13,Afternoon
6543,City,21,Trip Completed,15-Jul-16,20:54:20,Friday,20,Evening,15-Jul-16,22:12:36,Friday,22,Night
110,City,22,Trip Completed,11-Jul-16,05:05:00,Monday,5,Early Morning,11-Jul-16,06:06:00,Monday,6,Early Morning
362,City,22,Trip Completed,11-Jul-16,08:01:00,Monday,8,Morning,11-Jul-16,09:18:00,Monday,9,Morning
666,Airport,22,Trip Completed,11-Jul-16,13:02:00,Monday,13,Afternoon,11-Jul-16,13:45:00,Monday,13,Afternoon
926,City,22,Trip Completed,11-Jul-16,18:28:00,Monday,18,Evening,11-Jul-16,19:34:00,Monday,19,Evening
1180,Airport,22,Trip Completed,11-Jul-16,21:01:00,Monday,21,Night,11-Jul-16,22:14:00,Monday,22,Night
1900,City,22,Trip Completed,12-Jul-16,10:32:00,Tuesday,10,Morning,12-Jul-16,11:42:00,Tuesday,11,Morning
2506,City,22,Trip Completed,12-Jul-16,21:01:00,Tuesday,21,Night,12-Jul-16,21:38:00,Tuesday,21,Night
3064,City,22,Trip Completed,13-Jul-16,08:02:03,Wednesday,8,Morning,13-Jul-16,08:58:46,Wednesday,8,Morning
3327,Airport,22,Trip Completed,13-Jul-16,12:24:41,Wednesday,12,Afternoon,13-Jul-16,13:23:39,Wednesday,13,Afternoon
3601,City,22,Trip Completed,13-Jul-16,18:39:00,Wednesday,18,Evening,13-Jul-16,19:29:07,Wednesday,19,Evening
